DATE (MM/DD/YYYY),HOUR-MST,Avg Temperature @ 2m [deg C]
1/1/2008,1,-8.0513
1/1/2008,2,-8.3225
1/1/2008,3,-8.3760
1/1/2008,4,-8.3094
1/1/2008,5,-7.8549
1/1/2008,6,-7.6876
1/1/2008,7,-7.4411
1/1/2008,8,-9.3443
1/1/2008,9,-10.8163
1/1/2008,10,-9.0368
1/1/2008,11,-6.8424
1/1/2008,12,-7.0811
1/1/2008,13,-6.3035
1/1/2008,14,-5.9101
1/1/2008,15,-5.8176
1/1/2008,16,-7.3200
1/1/2008,17,-8.3234
1/1/2008,18,-9.1347
1/1/2008,19,-9.8886
1/1/2008,20,-10.1574
1/1/2008,21,-11.0111
1/1/2008,22,-10.5122
1/1/2008,23,-10.0256
1/2/2008,0,-9.5444
1/2/2008,1,-9.3557
1/2/2008,2,-9.1552
1/2/2008,3,-8.9174
1/2/2008,4,-7.7316
1/2/2008,5,-6.9323
1/2/2008,6,-6.7038
1/2/2008,7,-6.6769
1/2/2008,8,-6.7302
1/2/2008,9,-5.4955
1/2/2008,10,-4.1851
1/2/2008,11,-2.4259
1/2/2008,12,-1.8016
1/2/2008,13,0.3070
1/2/2008,14,1.2083
1/2/2008,15,1.1767
1/2/2008,16,0.4325
1/2/2008,17,-0.4633
1/2/2008,18,-1.6614
1/2/2008,19,3.5328
1/2/2008,20,3.8964
1/2/2008,21,6.3140
1/2/2008,22,8.7769
1/2/2008,23,8.8835
1/3/2008,0,10.2762
1/3/2008,1,9.9891
1/3/2008,2,10.8281
1/3/2008,3,8.4630
1/3/2008,4,9.7421
1/3/2008,5,10.2899
1/3/2008,6,11.3053
1/3/2008,7,10.8662
1/3/2008,8,11.0539
1/3/2008,9,10.8157
1/3/2008,10,10.2220
1/3/2008,11,8.7219
1/3/2008,12,9.6453
1/3/2008,13,12.3183
1/3/2008,14,12.5680
1/3/2008,15,12.4759
1/3/2008,16,12.5735
1/3/2008,17,11.7578
1/3/2008,18,10.8318
1/3/2008,19,10.5465
1/3/2008,20,10.3960
1/3/2008,21,10.6387
1/3/2008,22,9.3147
1/3/2008,23,9.8006
1/4/2008,0,9.3470
1/4/2008,1,8.6279
1/4/2008,2,8.4283
1/4/2008,3,7.9310
1/4/2008,4,7.9377
1/4/2008,5,7.6196
1/4/2008,6,6.4099
1/4/2008,7,6.8045
1/4/2008,8,7.2793
1/4/2008,9,8.3110
1/4/2008,10,8.4134
1/4/2008,11,8.7462
1/4/2008,12,8.9084
1/4/2008,13,9.7005
1/4/2008,14,10.2815
1/4/2008,15,10.9601
1/4/2008,16,9.9839
1/4/2008,17,9.2432
1/4/2008,18,8.5663
1/4/2008,19,8.2615
1/4/2008,20,8.0971
1/4/2008,21,8.7615
1/4/2008,22,7.9367
1/4/2008,23,7.9773
1/5/2008,0,7.5717
1/5/2008,1,7.6506
1/5/2008,2,8.2018
1/5/2008,3,6.1619
1/5/2008,4,9.6064
1/5/2008,5,8.4498
1/5/2008,6,9.9566
1/5/2008,7,12.8730
1/5/2008,8,12.8974
1/5/2008,9,14.1899
1/5/2008,10,14.2173
1/5/2008,11,14.1514
1/5/2008,12,13.9357
1/5/2008,13,13.1438
1/5/2008,14,10.5428
1/5/2008,15,9.3417
1/5/2008,16,8.4942
1/5/2008,17,8.0488
1/5/2008,18,7.4517
1/5/2008,19,6.9313
1/5/2008,20,3.2297
1/5/2008,21,-0.0089
1/5/2008,22,-1.0699
1/5/2008,23,-2.0824
1/6/2008,0,-1.7112
1/6/2008,1,-1.8010
1/6/2008,2,-1.4387
1/6/2008,3,-1.2091
1/6/2008,4,-0.4074
1/6/2008,5,0.3498
1/6/2008,6,0.9767
1/6/2008,7,1.2760
1/6/2008,8,-0.2730
1/6/2008,9,-0.4500
1/6/2008,10,-0.5770
1/6/2008,11,-0.4592
1/6/2008,12,0.8607
1/6/2008,13,1.1984
